label,dist,offset,conf,x,y,w,h
blue_y,0,1,0.956237078,-5,311,126,165
blue_y,0,0,0.972180009,210,298,140,158
blue_y,0,-1,0.939861536,464,302,117,139
blue_y,1,1,0.989676416,85,303,112,109
blue_y,1,0,0.989932001,257,302,106,112
blue_y,1,1,0.988026023,423,299,103,112
blue_y,NA,NA,0.963577211,160,300,52,52
blue_y,NA,NA,0.988329887,150,305,72,74
blue_y,NA,NA,0.962619066,614,299,87,105
blue_y,NA,NA,0.977928221,404,301,50,52
blue_y,NA,NA,0.981393814,94,307,66,58
blue_y,NA,NA,0.556585908,268,300,45,36
blue_y,NA,NA,0.931134641,447,300,47,36
white_up,0,1,0.991320252,0,308,93,133
white_up,0,0,0.988454759,214,304,130,145
white_up,0,-1,0.984052956,452,301,151,149
white_up,1,1,0.988482952,89,311,86,93
white_up,1,0,0.99570626,261,303,93,107
white_up,1,1,0.992103994,433,302,92,106
white_up,NA,NA,0.975987732,22,307,70,74
white_up,NA,NA,0.953083336,132,306,54,46
white_up,NA,NA,0.592565179,326,300,41,36
white_up,NA,NA,0.6257599,393,299,35,41
white_up,NA,NA,0.996409893,550,306,77,72
white_up,NA,NA,0.982851624,605,312,95,85
green_seven,0,1,0.937550187,3,315,93,136
green_seven,0,0,0.978302479,207,317,128,126
green_seven,0,-1,0.994780719,466,313,133,130
green_seven,1,1,0.971088529,89,319,106,79
green_seven,1,0,0.931399524,251,316,102,73
green_seven,1,-1,0.89541316,436,303,84,100
green_seven,NA,NA,0.963556468,24,310,71,67
green_seven,NA,NA,0.984327078,195,307,58,57
green_seven,NA,NA,0.930798292,326,303,32,37
green_seven,NA,NA,0.983177066,601,315,96,89
green_seven,NA,NA,0.794142723,472,301,49,45
green_seven,NA,NA,0.820138156,206,301,36,35